product_id,product_group,product_category,product_type,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn,,,,,,,
52,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Rg,Sit back and think of the tropical breezes.,16 oz,0.63,$2.50 ,Y,N,N,,,,,Tea,Brewed Green tea,Serenity Green Tea Lg
53,Beverages,Tea,Brewed Chai tea,Traditional Blend Chai Lg,Sit back and think of the tropical breezes.,24 oz,0.75,$3.00 ,Y,N,N,,,,,Tea,Brewed Black tea,English Breakfast Rg
54,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,Face the morning after your yoga routine. ,16 oz,0.63,$2.50 ,Y,N,N,,,,,Tea,Brewed Black tea,English Breakfast Lg
55,Beverages,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,Face the morning after your yoga routine. ,24 oz,1,$4.00 ,Y,N,N,,,,,Tea,Brewed Black tea,Earl Grey Rg
56,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,When you need your eyes opened wide.,16 oz,0.64,$2.55 ,Y,N,N,,,,,Tea,Brewed Black tea,Earl Grey Lg
57,Beverages,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,When you need your eyes opened wide.,24 oz,0.78,$3.10 ,Y,N,N,,,,,Tea,Brewed Chai tea,Traditional Blend Chai Rg
58,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,"Slightly bitter, but still very rich. ",12 oz,2.63,$3.50 ,Y,N,N,,,,,Tea,Brewed Chai tea,Traditional Blend Chai Lg
59,Beverages,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"Slightly bitter, but still very rich. ",16 oz,3.38,$4.50 ,Y,N,N,,,,,Tea,Brewed Chai tea,Morning Sunrise Chai Rg
60,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,Just pure notes of spice.,12 oz,2.81,$3.75 ,Y,N,N,,,,,Tea,Brewed Chai tea,Morning Sunrise Chai Lg
61,Beverages,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,Just pure notes of spice.,16 oz,3.56,$4.75 ,Y,N,N,,,,,Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg
62,Beverages,Drinking Chocolate,Hot chocolate,Snow Day Hot Chocolate,Added marshmallows for the needed sugar rush.,8 oz,2.25,$3.00 ,Y,N,N,,,,,Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg
63,Add-ons,Flavours,Regular syrup,Carmel syrup,Rich carmel taste,pump,0.04,$0.80 ,Y,N,N,,,,,Drinking Chocolate,Hot chocolate,Dark chocolate Rg
64,Add-ons,Flavours,Regular syrup,Hazelnut syrup,Bursting with nutty flavour,pump,0.04,$0.80 ,Y,N,N,,,,,Drinking Chocolate,Hot chocolate,Dark chocolate Lg
65,Add-ons,Flavours,Sugar free syrup,Sugar Free Vanilla syrup,Our favorite,pump,0.04,$0.80 ,Y,N,N,,,,,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg
66,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte,"Boo, its that time of year again",1.5 oz,0.99,$4.95 ,Y,N,N,,,,,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg
67,Beverages,Coffee,Seasonal drink,Pumpkin Spice Latte Lg,"Boo, its that time of year again",3.0 oz,1.19,$5.95 ,Y,Y,N,,,,,Drinking Chocolate,Hot chocolate,Snow Day Hot Chocolate
68,Beverages,Drinking Chocolate,Seasonal drink,Happy Holidays hot chocolate,"Candy cane and hot chocolate, perfect.",8 oz,2.81,$3.75 ,Y,Y,Y,,,,,Flavours,Regular syrup,Carmel syrup
75,Food,Bakery,Pastry,Croissant,Flakey and buttery,single,2.11,$3.25 ,N,N,N,,,,,Flavours,Regular syrup,Hazelnut syrup
70,Food,Bakery,Scone,Cranberry Scone,Like Grandma used to make,single,2.11,$3.25 ,N,N,N,,,,,Flavours,Sugar free syrup,Sugar Free Vanilla syrup
71,Food,Bakery,Pastry,Chocolate Croissant,Chocolate flakes,single,2.44,$3.75 ,N,N,N,,,,,Coffee,Seasonal drink,Pumpkin Spice Latte
72,Food,Bakery,Scone,Ginger Scone,Little bit of spice,single,2.11,$3.25 ,N,N,N,,,,,Coffee,Seasonal drink,Pumpkin Spice Latte Lg
73,Food,Bakery,Pastry,Almond Croissant,Crunch!,single,2.44,$3.75 ,N,N,N,,,,,Drinking Chocolate,Seasonal drink,Happy Holidays hot chocolate
74,Food,Bakery,Biscotti,Ginger Biscotti,Crunch!,single,2.28,$3.50 ,N,N,N,,,,,Bakery,Pastry,Croissant
69,Food,Bakery,Biscotti,Hazelnut Biscotti,Crunch!,single,2.28,$3.50 ,N,N,N,,,,,Bakery,Scone,Cranberry Scone
76,Food,Bakery,Biscotti,Chocolate Chip Biscotti,Crunch!,single,2.28,$3.50 ,N,N,N,,,,,Bakery,Pastry,Chocolate Croissant
77,Food,Bakery,Scone,Oatmeal Scone,Grannys fav,single,1.95,$3.00 ,N,N,N,,,,,Bakery,Scone,Ginger Scone
78,Food,Bakery,Scone,Scottish Cream Scone ,Old time comfort,single,2.93,$4.50 ,N,N,N,,,,,Bakery,Pastry,Almond Croissant
79,Food,Bakery,Scone,Jumbo Savory Scone,"Anytime, anywhere",single,2.44,$3.75 ,N,N,N,,,,,Bakery,Biscotti,Ginger Biscotti
80,Merchandise,Branded,Clothing,I Need My Bean! Toque,keep your head bean warm,single,7.36,$23.00 ,N,N,N,,,,,Bakery,Biscotti,Hazelnut Biscotti
81,Merchandise,Branded,Clothing,I Need My Bean! T-shirt,Stylish chic,single,8.96,$28.00 ,N,N,N,,,,,Bakery,Biscotti,Chocolate Chip Biscotti
82,Merchandise,Branded,Housewares,I Need My Bean! Diner mug,Classic,single,3.84,$12.00 ,N,N,N,,,,,Bakery,Scone,Oatmeal Scone
83,Merchandise,Branded,Housewares,I Need My Bean! Latte cup,The cup and saucer set is the perfect way to enjoy your latte at home,single,4.48,$14.00 ,N,N,N,,,,,Bakery,Scone,Scottish Cream Scone
84,Add-ons,Flavours,Regular syrup,Chocolate syrup,Bursting with chocolate flavour,pump,0.04,$0.80 ,Y,N,N,,,,,Bakery,Scone,Jumbo Savory Scone
85,Beverages,Coffee,Specialty coffee,Rio Nights,2 shots of Ouro Brasilerio and pure cane sugar syrup,6 oz,1.2,$6.00 ,Y,N,Y,,,,,Branded,Clothing,I Need My Bean! Toque
87,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot,From Rio,1.5 oz,0.6,$3.00 ,Y,N,N,,,,,Branded,Clothing,I Need My Bean! T-shirt
88,Beverages,Coffee,Barista Espresso,Ouro Brasileiro shot promo,Ouro promo,16 oz,0.42,$2.10 ,Y,Y,N,,,,,Branded,Housewares,I Need My Bean! Diner mug
89,Food,Bakery,Scone,Ginger Scone promo,Little bit of spice,single,1.72,$2.65 ,N,Y,N,,,,,Branded,Housewares,I Need My Bean! Latte cup
,,,,,,,,,,,,,,,,Flavours,Regular syrup,Chocolate syrup
,,,,,,,,,,,,,,,,Coffee,Specialty coffee,Rio Nights
,,,,,,,,,,,,,,,,Coffee,Barista Espresso,Ouro Brasileiro shot
,,,,,,,,,,,,,,,,Coffee,Barista Espresso,Ouro Brasileiro shot promo
,,,,,,,,,,,,,,,,Bakery,Scone,Ginger Scone promo
